Address,City,Bed,LotSz,SqFt,Year,DOM_CDOM,Area,DayofWkListed,MonthListed,YearListed,SqFt,OrigPrice,ListPrice,SellingPrice,total_baths,full_baths,three_q_baths,half_baths,q_baths
815 E Lakeshore Dr ,Storm Lake,5,16405,4010,1991,645/645,     East,4,1,2008,69.83,550000,299900,280000,4,4,0,0,0
307 Lake Ave ,Storm Lake,4,14000,3412,1907,12-Dec,     East,1,12,2007,45.72,162000,162000,156000,2,2,0,0,0
800 Meadow Ln ,Storm Lake,3,14000,1562,1981,54/54,     East,5,11,2007,130.6,217000,217000,204000,3,3,0,0,0
1308 Poplar Ln ,Storm Lake,3,13500,1872,1977,147/147,     East,5,1,2008,80.13,174900,159500,150000,3,2,0,0,1
1420 N Seneca St ,Storm Lake,4,8475,,2007,120/120,     East,1,3,2008,,149800,149800,158598,3,2,0,1,0
1 Colonial Cir ,Storm Lake,3,21702,2642,1953,68/68,     East,3,2,2008,81.38,225000,225000,215000,2,1,1,0,0
705 Maywood Dr ,Storm Lake,4,9603,1300,2007,3-Mar,     East,1,12,2007,126.92,165000,165000,165000,2,2,0,0,0
518 Expansion Blvd ,Storm Lake,4,9600,1560,2007,80/80,     East,2,4,2008,107.69,168000,168000,168000,3,3,0,0,0
1104 Kelvin Rd ,Storm Lake,4,10400,1515,1974,9-Sep,     East,3,2,2008,113.53,172000,172000,172000,2,1,1,0,0
709 Maywood Dr ,Storm Lake,4,,1300,2008,3-Mar,     East,3,2,2008,127.31,165500,165500,165500,2,1,1,0,0
1209 N Oneida St ,Storm Lake,4,10875,1826,1978,110/110,     East,3,10,2008,84.06,164900,164900,153500,4,4,0,0,0
804 Clover Ln ,Storm Lake,3,14000,1344,1979,44/44,     East,5,8,2008,148.81,212000,207500,200000,2,1,1,0,0
704 Clover Ln ,Storm Lake,3,14000,1327,1980,32/32,     East,3,9,2008,118.69,169900,169900,157500,2,2,0,0,0
105 Spring Ct ,Storm Lake,2,8624,1308,1979,6-Jun,     East,3,10,2008,192.66,259000,259000,252000,2,1,0,1,0
102 Mallard Dr ,Storm Lake,4,23178,3274,1990,294/571,     East,4,11,2008,73.3,339000,299000,240000,4,3,0,1,0
825 Angier Dr ,Storm Lake,3,12971,1855,1970,315/315,     East,5,3,2009,88.95,197900,180000,165000,3,2,0,1,0
1110 Lincoln Rd ,Storm Lake,4,14311,1954,1972,148/148,     East,2,1,2009,81.88,179000,179000,160000,4,3,0,1,0
700 Clover Lane ,Storm Lake,3,15400,1968,1994,103/103,     East,4,1,2009,94,212500,200000,185000,3,3,0,0,0
1303 Shoreway Rd ,Storm Lake,4,7525,2128,1946,30/30,     East,5,11,2008,74.01,165000,165000,157500,3,3,0,0,0
1000 Kelvin ,Storm Lake,3,10400,2038,1954,0/0,     East,5,6,2009,82.68,175000,175000,168500,2,2,0,0,0
701 Prairie Ln ,Storm Lake,5,15744,1878,2008,32/32,     East,2,8,2009,148.83,279500,279500,279500,3,3,0,0,0
1401 W 5th St ,Storm Lake,3,18227,1972,1957,321/321,     East,2,12,2009,77.59,189900,176900,153000,2,2,0,0,0
312 Lake Ave ,Storm Lake,4,10400,2980,1923,128/128,     East,5,10,2009,55.37,185000,185000,165000,2,2,0,0,0
601 Lincoln Rd ,Storm Lake,4,9741,1453,2004,374/374,     East,2,8,2010,114.25,195000,175000,166000,3,2,1,0,0
920 Emerald Dr ,Storm Lake,3,13395,2172,1956,138/138,     East,5,1,2010,91.16,209500,199500,198000,3,2,0,0,1
198 Daphne ,Storm Lake,3,25942,1386,2007,289/289,     East,5,6,2010,115.44,176900,167500,160000,2,1,1,0,0
716 Meadow Ln ,Storm Lake,3,14000,1859,1981,260/260,     East,3,6,2010,95.75,187900,183500,178000,3,2,1,0,0
906 Evergreen ,Storm Lake,4,13513,1296,2009,77/77,     East,1,11,2009,142.75,186000,186000,185000,3,2,1,0,0
1104 Kelvin Rd ,Storm Lake,4,10400,1524,1974,148/148,     East,3,3,2010,103.67,165000,163000,158000,3,2,0,1,0
813 E Lakeshore Dr #1 ,Storm Lake,1,16366,1851,1991,363/363,     East,5,10,2010,117.77,269000,239000,218000,1,1,0,0,0
805 Kelvin Rd ,Storm Lake,2,17325,1870,1993,79/79,     East,1,4,2010,103.48,198500,198500,193500,3,2,0,1,0
713 Prairie Ln ,Storm Lake,5,14330,1902,2005,30/30,     East,1,3,2010,135.12,264500,264500,257000,4,3,0,1,0
701 Clover Ln ,Storm Lake,4,17780,1939,1996,31/31,     East,4,4,2010,128.93,259500,259500,250000,3,2,1,0,0
905 N Walnut St ,Storm Lake,4,9005,2188,1968,55/55,     East,1,6,2010,76.1,169500,169500,166500,3,2,0,0,1
912 Kelvin Rd ,Storm Lake,5,15382,2334,2000,20/20,     East,4,6,2010,104.97,267500,267500,245000,4,3,0,1,0
909 N Mae St ,Storm Lake,5,9014,2240,1976,57/57,     East,2,7,2010,75.89,174900,174900,170000,3,2,0,1,0
226 Geneseo ,Storm Lake,5,12600,3582,1895,88/88,     East,5,10,2010,50.25,197000,190000,180000,5,5,0,0,0
608 Lakeview Ln ,Storm Lake,4,14978,1924,1990,45/45,     East,5,7,2010,91.48,179900,179900,176000,2,2,0,0,0
303 E Lakeshore Dr ,Storm Lake,4,16590,2754,1925,0/0,     East,5,7,2010,90.78,274950,274950,250000,3,2,0,0,1
712 Emerald Dr ,Storm Lake,4,18360,2260,1977,37/37,     East,4,9,2010,86.28,209500,209500,195000,3,3,0,0,0
193 South Shore Dr ,Storm Lake,2,24413,1690,1956,1224/1224,     East,5,9,2011,176.04,410000,340000,297500,2,2,0,0,0
1107 Lincoln Rd ,Storm Lake,3,15300,1664,1972,413/413,     East,5,10,2010,97.66,179900,162500,162500,2,2,0,0,0
815 E Lakeshore Dr #2 ,Storm Lake,2,16366,1441,1991,402/402,     East,1,11,2010,128.38,259000,187500,185000,2,1,0,1,0
806 Lakeshore Dr ,Storm Lake,3,8898,1176,1920,302/302,     East,5,11,2010,191.33,259000,244000,225000,1,1,0,0,0
1000 Pierce Dr ,Storm Lake,3,11790,1528,1962,371/371,     East,4,5,2011,99.15,164900,155000,151500,3,2,0,0,1
109 Mallard Dr ,Storm Lake,4,17227,1344,1974,367/367,     East,5,9,2011,212.05,339900,285000,285000,3,3,0,0,0
106 College Ave ,Storm Lake,4,21248,2880,1960,1-Jan,     East,5,4,2011,90.28,285000,285000,260000,3,2,0,0,1
128 Scott St ,Storm Lake,3,3464,1412,1976,215/215,     East,3,6,2011,174.22,285000,259000,246000,2,1,1,0,0
102 Elm St ,Storm Lake,3,7200,2005,1954,250/250,     East,5,9,2011,123.69,280000,280000,248000,2,1,1,0,0
801 Clover Ln ,Storm Lake,4,15793,2004,1983,35/542,     East,1,4,2011,93.06,191500,191500,186500,3,2,0,0,1
3109 Leona Dr ,Storm Lake,4,16800,1676,1980,6-Jun,     East,2,5,2011,141.41,239500,239500,237000,3,2,1,0,0
3 Rockwell Ct ,Storm Lake,4,,1250,2010,68/68,     East,4,6,2011,128,163500,163500,160000,3,3,0,0,0
17 St. Andrews Dr ,Storm Lake,3,16500,2213,1977,106/106,     East,4,9,2011,89.47,219500,209500,198000,2,1,1,0,0
218 Lake Ave ,Storm Lake,4,12800,2858,1941,27/27,     East,3,6,2011,87.47,267000,267000,250000,3,2,0,1,0
725 Hwy 7 ,Storm Lake,3,24000,2630,1973,1-Jan,     East,5,8,2011,80.23,229500,229500,211000,3,2,0,1,0
13 Saint Andrews Dr ,Storm Lake,5,20604,2120,1978,24/24,     East,3,8,2011,70.75,156800,156800,150000,3,3,0,0,0
1512 W 5th St ,Storm Lake,3,16442,1630,1959,809/809,     East,5,1,2012,99.94,189900,162900,162900,2,2,0,0,0
920 Angier Dr ,Storm Lake,3,12003,1887,1981,655/655,     East,5,9,2012,92.74,250000,190000,175000,3,2,1,0,0
111 Spring Ct ,Storm Lake,4,5400,2035,1960,343/1090,     East,6,5,2012,135.14,299000,299000,275000,2,2,0,0,0
1601 Shoreway Rd ,Storm Lake,3,16950,2144,1966,150/150,     East,2,11,2011,76.96,186000,182000,165000,3,2,1,0,0
1101 Lincoln Rd ,Storm Lake,3,13260,1563,1970,142/142,     East,2,11,2011,99.81,162500,159900,156000,3,2,0,1,0
321 Ontario St ,Storm Lake,3,8400,1826,1994,22/22,     East,2,11,2011,98.71,180250,180250,180250,3,3,0,0,0
122 Scott St ,Storm Lake,2,3608,1607,1960,49/49,     East,2,11,2011,140.63,251000,251000,226000,1,1,0,0,0
712 Emerald Dr ,Storm Lake,4,18360,2260,1977,195/195,     East,5,5,2012,81.86,207500,189900,185000,3,3,0,0,0
1000 Kelvin Rd ,Storm Lake,3,10400,2038,1954,111/111,     East,3,2,2012,90.78,189900,189900,185000,2,2,0,0,0
808 Meadow Ln ,Storm Lake,3,28000,2944,1980,21/21,     East,3,12,2011,90.01,269000,269000,265000,4,3,1,0,0
515 Gran Dr ,Storm Lake,4,11655,1774,1967,148/148,     East,3,5,2012,96.96,176500,176500,172000,2,1,1,0,0
1115 W 6th St ,Storm Lake,4,10825,1250,2012,71/71,     East,4,6,2012,138.8,172500,172500,173500,3,3,0,0,0
709 Emerald Dr ,Storm Lake,3,11700,1520,1964,97/97,     East,1,8,2012,103.95,168000,168000,158000,3,3,0,0,0
916 Angier Dr ,Storm Lake,2,12489,1576,1974,58/58,     East,1,7,2012,95.18,159900,159900,150000,2,1,0,1,0
203 Geneseo St ,Storm Lake,3,11200,2079,1907,74/74,     East,4,7,2012,98.61,239000,219500,205000,2,2,0,0,0
509 Lincoln Rd ,Storm Lake,3,9740,1400,1990,49/49,     East,5,9,2012,115,162500,162500,161000,2,2,0,0,0
607-609 Larchwood Dr ,Storm Lake,6,9442,2832,1972,32/32,     East,1,9,2012,58.26,169500,169500,165000,4,4,0,0,0
604 E Lakeshore Dr ,Storm Lake,3,8780,1337,1996,413/413,     East,5,10,2012,141.36,214500,199500,189000,3,2,0,1,0
11 St. Andrews Dr ,Storm Lake,3,16500,2350,1972,482/482,     East,1,7,2013,105.11,279900,249500,247000,3,3,0,0,0
101 Birch St ,Storm Lake,3,9625,2340,1948,321/321,     East,5,4,2013,80.77,234500,194500,189000,3,2,0,1,0
704 Clover Ln ,Storm Lake,3,14000,1327,1980,170/170,     East,5,12,2012,131.88,188500,179000,175000,3,3,0,0,0
1817 W 6th St ,Storm Lake,4,9600,1582,2006,144/144,     East,4,12,2012,140.33,239000,229000,222000,3,3,0,0,0
513 Swallum Dr ,Storm Lake,3,10067,1521,1964,296/296,     East,3,7,2013,101.25,169900,154900,154000,2,1,1,0,0
208 Elm St ,Storm Lake,4,12280,1260,2006,66/66,     East,4,12,2012,125.4,169900,169900,158000,2,2,0,0,0
15 Vista Dr ,Storm Lake,3,18725,2196,1951,252/252,     East,5,8,2013,92.78,279000,224000,203750,3,2,1,0,0
704 Angier Dr ,Storm Lake,3,11970,1778,1970,58/58,     East,5,6,2013,87.18,165000,163000,155000,3,2,1,0,0
1005 Evergreen Ave ,Storm Lake,3,,,2012,2-Feb,     East,5,4,2013,,206000,206000,206000,3,3,0,0,0
1001 W 6th St ,Storm Lake,4,10680,1400,2013,86/86,     East,5,7,2013,133.21,188500,188500,186500,3,3,0,0,0
600 Lincoln Rd ,Storm Lake,4,9602,2560,2000,37/37,     East,1,7,2013,76.95,204500,204500,197000,4,3,0,1,0
602 Lakeshore Dr ,Storm Lake,2,7200,864,1955,1-Jan,     East,1,6,2013,289.35,250000,250000,250000,2,2,0,0,0
800 Kelvin Rd ,Storm Lake,3,31240,2092,1977,21/21,     East,4,6,2013,91.78,195000,195000,192000,3,2,0,1,0
16 St Andrews Dr ,Storm Lake,4,16500,1840,1977,23/23,     East,1,7,2013,108.7,210000,210000,200000,2,2,0,0,0
202 W 3rd St ,Storm Lake,3,8005,2240,1992,83/83,     East,3,9,2013,77.23,199500,189500,173000,3,2,0,1,0
920 Angier Dr ,Storm Lake,3,12003,1887,1981,39/39,     East,5,8,2013,102.28,209000,209000,193000,3,2,1,0,0
1001 Walnut St ,Storm Lake,3,8960,1240,1975,39/39,     East,4,9,2013,120.97,159000,159000,150000,3,3,0,0,0
21 St. Andrews Dr ,Storm Lake,3,16500,1956,1999,425/425,     East,3,10,2013,102.25,225000,214900,200000,3,2,0,1,0
1205 E 8th St ,Storm Lake,4,11200,1802,2009,205/205,     East,4,10,2013,130.41,259000,239900,235000,3,3,0,0,0
312 Lake Avenue ,Storm Lake,4,10400,2980,1923,363/363,     East,2,6,2014,59.06,215000,176000,176000,3,3,0,0,0
610 Lakeview Lane ,Storm Lake,3,22506,1776,1991,282/282,     East,1,4,2014,97.13,205900,182900,172500,3,2,0,1,0
704 E 12th St ,Storm Lake,5,12125,1718,1995,140/140,     East,4,12,2013,99.53,177500,172500,171000,3,2,1,0,0
608 Lincoln Rd ,Storm Lake,4,9603,1198,2005,329/329,     East,2,7,2014,144.41,189750,179500,173000,3,3,0,0,0
920 Emerald Dr ,Storm Lake,3,13395,2172,1956,52/52,     East,5,10,2013,92.08,207500,207500,200000,3,2,0,1,0
5 Vista Dr ,Storm Lake,4,12272,2046,1949,75/75,     East,2,11,2013,75.76,159900,159900,155000,3,2,0,1,0
1001 E 8th St ,Storm Lake,3,8995,1632,1968,30/30,     East,5,10,2013,94.98,165000,165000,155000,2,2,0,0,0
709 E 10th St ,Storm Lake,3,10950,1060,1982,30/30,     East,5,11,2013,144.34,157500,157500,153000,2,1,1,0,0
904 Kelvin ,Storm Lake,3,18184,1514,1953,173/173,     East,4,4,2014,107.99,168500,164250,163500,2,2,0,0,0
705 Clover Ln ,Storm Lake,4,15400,2094,1991,160/160,     East,4,4,2014,102.67,225000,220000,215000,4,4,0,0,0
115 E Lakeshre Dr ,Storm Lake,2,4506,1525,1919,23/23,     East,5,12,2013,99.67,154900,154900,152000,2,1,0,1,0
500 Otsego St ,Storm Lake,4,8400,2864,1930,170/170,     East,5,5,2014,66.86,225000,193900,191500,2,2,0,0,0
909 N Mae St ,Storm Lake,5,9014,2240,1976,86/86,     East,3,5,2014,75.89,189500,189500,170000,3,2,0,1,0
1704 W 6th St ,Storm Lake,4,20013,2653,1971,42/42,     East,2,5,2014,75.39,215000,215000,200000,4,3,0,1,0
805 Russell St ,Storm Lake,4,12271,2036,1930,22/22,     East,5,4,2014,81.53,169900,169900,166000,3,3,0,0,0
1107 W 6th St ,Storm Lake,4,10680,1478,2014,43/43,     East,1,6,2014,134.98,199500,199500,199500,3,3,0,0,0
134 Scott St ,Storm Lake,3,3898,1048,1910,13/13,     East,5,5,2014,151.81,159000,159000,159100,1,1,0,0,0
1005 W 5th St ,Storm Lake,5,8793,1968,1925,61/61,     East,5,8,2014,80.28,158000,158000,158000,3,2,0,1,0
204 Geneseo St ,Storm Lake,5,9375,2290,1941,49/49,     East,1,10,2014,76.42,210000,185000,175000,3,2,0,0,1
1309 W 6th St ,Storm Lake,4,11893,2019,1950,30/30,     East,1,9,2014,77.27,159900,159900,156000,3,2,0,1,0
5 Vista Dr ,Storm Lake,4,12272,2046,1949,30/30,     East,5,8,2014,76.25,159900,159900,156000,3,3,0,0,0
701 Maywood Dr ,Storm Lake,4,9603,1298,2007,666/666,     East,2,9,2015,115.56,182000,159888,150000,2,2,0,0,0
926 Leona Cir ,Storm Lake,4,15400,2158,1993,439/439,     East,3,4,2015,90.82,228000,199500,196000,3,2,0,1,0
101 Lake Ave ,Storm Lake,3,12410,3804,1952,402/402,     East,4,3,2015,70.98,349000,275000,270000,2,2,0,0,0
905 Evergreen Ave ,Storm Lake,4,11227,1289,2014,276/276,     East,5,1,2015,145.46,200000,189500,187500,3,3,0,0,0
1700 Hyland Dr ,Storm Lake,4,11970,2013,1972,269/269,     East,3,12,2014,86.93,197500,184500,175000,3,2,0,1,0
1309 Shoreway Rd ,Storm Lake,3,10623,1516,1964,120/120,     East,5,10,2014,138.52,219000,219000,210000,3,2,0,1,0
502 Lakeshore Dr ,Storm Lake,3,7152,2170,1979,307/307,     East,2,6,2015,134.79,358000,305000,292500,2,2,0,0,0
1005 Lighthouse Dr ,Storm Lake,4,3736,2028,1991,340/340,     East,4,7,2015,78.9,225000,175000,160000,3,3,0,0,0
904 Angier Dr ,Storm Lake,4,12489,2142,1974,48/48,     East,5,10,2014,91.27,199500,199500,195500,4,3,0,1,0
1012 Oak Lane ,Storm Lake,4,9140,2315,1971,143/143,     East,2,12,2014,71.27,182000,178500,165000,3,2,1,0,0
716 Winthrop Cir ,Storm Lake,3,23800,1590,1968,37/37,     East,1,12,2014,138.36,239000,239000,220000,3,2,1,0,0
1204 E 9th St ,Storm Lake,3,11326,1264,2011,175/175,     East,5,4,2015,132.91,184750,173000,168000,2,2,0,0,0
1009 Evergreen Ave ,Storm Lake,5,11227,1283,2014,223/223,     East,2,6,2015,141.1,194500,185000,181031,3,2,0,1,0
1113 Lincoln Rd ,Storm Lake,4,15184,1836,1974,38/38,     East,2,12,2014,112.2,215000,215000,206000,2,2,0,0,0
1107 W 5th St ,Storm Lake,3,9441,1936,1936,117/117,     East,5,3,2015,78,157500,154900,151000,2,1,0,1,0
716 Prairie Ln ,Storm Lake,4,15800,1696,2007,19/19,     East,1,1,2015,154.78,275000,275000,262500,3,3,0,0,0
901 E 9th St ,Storm Lake,4,9148,2010,1974,32/32,     East,1,2,2015,78.36,159500,159500,157500,3,2,0,1,0
1511 Shoreway Rd ,Storm Lake,3,20551,1754,1957,51/51,     East,4,4,2015,88.37,169900,168900,155000,2,1,0,1,0
608 Lincoln Rd ,Storm Lake,4,9603,1198,2005,87/87,     East,3,5,2015,150.25,185000,185000,180000,3,3,0,0,0
1001 W 6th St ,Storm Lake,4,10680,1400,2013,161/161,     East,1,10,2015,125,189900,189900,175000,3,3,0,0,0
110 Mallard Dr ,Storm Lake,3,20410,1596,1981,35/219,     East,4,5,2015,117.48,199000,199000,187500,3,2,0,1,0
321 Ontario St ,Storm Lake,4,8400,1826,1994,41/41,     East,5,5,2015,101.31,189500,189500,185000,3,3,0,0,0
708 Clover Ln ,Storm Lake,4,14770,2006,1987,174/174,     East,5,10,2015,86.24,189900,179000,173000,3,2,0,1,0
1111 W 6th St ,Storm Lake,5,10680,1886,2015,31/31,     East,2,6,2015,114,219500,219500,215000,3,3,0,0,0
207 Lake Ave ,Storm Lake,5,13600,3320,1910,60/60,     East,4,7,2015,56.48,198500,198500,187500,3,3,0,0,0
1009 Emerald Dr ,Storm Lake,3,17500,1144,1962,70/70,     East,6,8,2015,257.87,359000,315000,295000,2,2,0,0,0
1805 W 6th St ,Storm Lake,3,11280,2088,1975,31/31,     East,3,7,2015,81.42,179000,179000,170000,3,3,0,0,0
709 E 10th St ,Storm Lake,3,10950,1060,1982,23/23,     East,5,8,2015,144.34,160000,160000,153000,2,1,1,0,0
704 Clover Ln ,Storm Lake,3,14000,1327,1980,162/162,     East,5,10,2015,129.62,179000,179000,172000,3,3,0,0,0
707 Maywood Dr ,Storm Lake,4,9602,1294,2007,112/112,     East,1,11,2015,122.68,169888,161888,158750,2,2,0,0,0
122 Scott St ,Storm Lake,2,3608,1607,1960,110/110,     East,3,1,2016,183.57,326000,309900,295000,2,2,0,0,0
3102 Leona Dr ,Storm Lake,3,14000,1554,1979,82/82,     East,5,11,2015,118.4,194000,189900,184000,3,3,0,0,0
1105 E 8th St ,Storm Lake,3,9600,1320,1988,137/137,     East,4,2,2016,113.64,159900,153900,150000,2,1,1,0,0
800-804 Michigan St ,Storm Lake,5,10000,3052,1950,0/0,     East,1,12,2015,51.61,160000,160000,157500,4,4,0,0,0
104 W 3rd Street ,Storm Lake,3,12000,1844,1955,33/33,     East,2,12,2015,84.06,155000,155000,155000,2,1,1,0,0
130 Scott St ,Storm Lake,2,3510,939,1955,140/140,     East,2,3,2016,239.62,269000,259000,225000,1,1,0,0,0
1107 W 6th St ,Storm Lake,4,10680,1478,2013,164/164,     East,3,5,2016,134.64,199000,199000,199000,3,3,0,0,0
509 Lincoln ,Storm Lake,3,9741,1400,1990,11-Nov,     East,5,1,2016,123.93,178500,178500,173500,2,2,0,0,0
508 Lincoln Road ,Storm Lake,3,11250,1400,1990,96/96,     East,4,4,2016,107.14,162000,158000,150000,3,3,0,0,0
513 Swallum Dr ,Storm Lake,3,10066,1521,1964,24/24,     East,1,4,2016,108.48,169900,169900,165000,2,1,1,0,0
1013 N Mae St ,Storm Lake,4,9172,2080,1971,63/63,     East,4,5,2016,73.8,155000,155000,153500,3,2,0,1,0
198 Daphne St ,Storm Lake,3,25942,1386,2007,45/45,     East,5,5,2016,121.57,177500,177500,168500,2,2,0,0,0
1113 Oneida St ,Storm Lake,3,11125,1296,1970,38/38,     East,3,6,2016,118.83,154900,154900,154000,2,2,0,0,0
801 E Lakeshore Dr ,Storm Lake,3,6866,1364,1952,35/35,     East,5,6,2016,143.7,205000,205000,196000,2,2,0,0,0
920 Angier Dr ,Storm Lake,3,12003,1887,1981,17/17,     East,4,6,2016,109.17,209000,209000,206000,3,3,0,0,0
1624 Hyland Dr ,Storm Lake,3,12964,1512,1967,5-May,     East,3,6,2016,99.54,149900,149900,150500,2,2,0,0,0
7 Vista Dr ,Storm Lake,3,12272,1188,1950,37/37,     East,3,6,2016,129.63,169900,159900,154000,2,2,0,0,0
13 St. Andrews Dr ,Storm Lake,5,20598,2220,1978,16/16,     East,5,6,2016,100.9,233000,233000,224000,3,2,0,1,0
706 Barton St ,Storm Lake,5,14774,1790,2016,63/63,     East,3,8,2016,127.37,229500,229500,228000,3,3,0,0,0
805 Highview Dr ,Storm Lake,3,9252,1592,1955,1-Jan,     East,5,7,2016,97.36,156500,156500,155000,2,2,0,0,0
1005 Evergreen Ave ,Storm Lake,4,11231,1290,2012,82/82,     East,5,9,2016,165.12,224000,224000,213000,3,2,1,0,0
716 Winthrop Cir ,Storm Lake,3,23800,1590,1968,26/26,     East,3,8,2016,144.34,239000,239000,229500,3,3,0,0,0
2904 Alvin Place ,Storm Lake,3,11135,1288,1966,16/16,     East,2,9,2016,118.71,152900,152900,152900,2,2,0,0,0
609 E 12th St ,Storm Lake,3,10639,1542,1998,17/17,     East,2,9,2016,103.7,159900,159900,159900,3,3,0,0,0
605 Lakeview Ln ,Storm Lake,3,23591,1746,1997,551/551,     East,5,10,2016,111.68,220000,220000,195000,3,3,0,0,0
917 Angier Dr ,Storm Lake,4,13044,2876,1977,366/366,     East,3,11,2016,64.33,249000,199000,185000,4,3,0,1,0
704 Prairie Ln ,Storm Lake,4,14360,1408,2007,162/162,     East,3,11,2016,132.1,199500,189900,186000,3,3,0,0,0
1401 Shoreway Rd ,Storm Lake,3,10878,1841,1965,267/267,     East,5,3,2017,105.92,227000,200000,195000,2,1,1,0,0
140 Pheasant Dr ,Storm Lake,4,20020,3087,1989,180/180,     East,4,2,2017,63.17,255000,215000,195000,3,3,0,0,0
709 Emerald Dr ,Storm Lake,3,11700,1520,1964,93/93,     East,5,11,2016,107.89,172900,165900,164000,3,3,0,0,0
512 Swallum Dr ,Storm Lake,4,9990,2272,1983,239/239,     East,5,5,2017,94.63,234900,234900,215000,3,3,0,0,0
1601 Lochedem Dr ,Storm Lake,4,10265,1720,1956,41/41,     East,4,10,2016,87.21,149500,149500,150000,2,1,1,0,0
905 N Walnut St ,Storm Lake,5,9004,2188,1968,77/77,     East,3,11,2016,75.41,165000,165000,165000,3,2,0,1,0
604 Renshaw Dr ,Storm Lake,4,9119,1969,1975,38/38,     East,4,11,2016,77.96,152500,152500,153500,2,1,1,0,0
701 Clover Ln ,Storm Lake,4,17780,1939,1996,51/51,     East,2,1,2017,129.96,265000,265000,252000,3,3,0,0,0
302 Lake Ave ,Storm Lake,4,13600,2823,1916,83/83,     East,4,3,2017,66.77,190500,190500,188500,4,4,0,0,0
1604 Violet Lane ,Storm Lake,4,9600,1358,2006,29/29,     East,5,12,2016,111.93,154000,154000,152000,3,3,0,0,0
1502 E Milwaukee Ave ,Storm Lake,3,37505,1196,1975,50/50,     East,5,1,2017,132.94,159900,159900,159000,3,2,0,1,0
1700 W 6th St ,Storm Lake,4,16150,2028,1970,39/39,     East,3,5,2017,100,211500,211500,202800,3,2,1,0,0
1113 Oneida St ,Storm Lake,3,11125,1296,1970,1-Jan,     East,5,5,2017,123.07,159500,159500,159500,2,2,0,0,0
1005 E 8th St ,Storm Lake,3,8995,1320,1968,28/28,     East,5,4,2017,120.45,159000,159000,159000,3,3,0,0,0
1309 Shoreway Rd ,Storm Lake,3,10622,1516,1964,42/42,     East,5,7,2017,145.12,225000,225000,220000,3,3,0,0,0
114 Mallard ,Storm Lake,2,20020,2636,1994,111/111,     East,5,6,2017,104.32,329000,299000,275000,3,2,0,1,0
124 Mallard ,Storm Lake,3,20020,2070,1977,36/36,     East,1,5,2017,105.8,229000,229000,219000,3,2,0,1,0
134 Mallard ,Storm Lake,4,20003,2678,1977,19/19,     East,3,6,2017,69.64,194500,194500,186500,2,2,0,0,0
1204 E 9th St ,Storm Lake,5,11326,1264,2011,1-Jan,     East,4,6,2017,167.72,214900,214900,212000,3,3,0,0,0
110 Lake Ave ,Storm Lake,4,8400,2082,1919,8-Aug,     East,4,6,2017,108.07,219000,219000,225000,2,1,0,1,0
697 Hyland Dr ,Storm Lake,4,14774,1686,2017,62/62,     East,2,8,2017,136.24,229500,229500,229700,3,3,0,0,0
510 Angier Dr ,Storm Lake,3,9000,1358,1954,24/24,     East,4,7,2017,120.4,162500,162500,163500,2,1,1,0,0
1210 W 6 ,Storm Lake,3,9442,2123,1950,20/20,     West,1,7,2017,81.72,173500,173500,173500,3,2,0,1,0
114 White Cap Rd ,Storm Lake,3,8400,2566,2004,34/34,     East,3,8,2017,89.24,239000,219000,229000,3,1,1,0,1
800 Pierce Dr ,Storm Lake,4,21222,2043,1959,49/49,     East,5,9,2017,101.57,219900,219900,207500,3,2,0,1,0
517 Swallum Dr ,Storm Lake,3,10057,1536,1965,66/66,     East,1,10,2017,108.72,185000,169500,167000,2,1,1,0,0
704 Angier Dr ,Storm Lake,3,11970,1778,1970,17/17,     East,5,9,2017,89.99,160000,160000,160000,3,2,1,0,0
1305 Shoreway Rd ,Storm Lake,3,12465,1268,1963,31/31,     East,5,8,2017,119.87,152000,152000,152000,2,1,0,1,0
205 Elm ,Storm Lake,4,10500,1332,2005,77/77,     East,5,10,2017,159.16,215000,215000,212000,2,1,1,0,0
